sku,total_sales,post_date,post_name,post_type,pays
15737,14,2018-06-02 09:23:21,chateau-turcaud-bordeaux-blanc-cuvee-majeure-2018,product,IT
16261,1,2018-04-17 09:37:34,bernard-baudry-chinon-blanc-2018,product,IT
13291,0,2019-03-19 10:30:57,chateau-de-chantegrive-caroline-blanc-2016,product,IT
15818,12,2019-03-13 14:17:23,parce-freres-collioure-rouge-petit-gus-2018,product,IT
15298,6,2018-02-08 12:58:52,pierre-jean-villa-saint-joseph-preface-2018,product,IT
16057,0,2018-04-17 15:29:17,pelle-sancerre-rouge-la-croix-au-garde-2017,product,IT
,,,,,IT
12366,0,2019-01-29 15:23:12,pares-balta-penedes-hisenda-miret-2013,product,IT
16189,42,2018-02-15 10:10:23,le-pas-de-lescalette-languedoc-petits-pas-2019,product,IT
15928,10,2018-05-17 11:53:08,cave-de-castelmaure-corbieres-rouge-vigneron-2018,product,IT
14912,0,2019-01-15 15:00:13,domaine-weinbach-pinot-blanc-2017,product,IT
15310,14,2018-02-20 10:07:41,parce-freres-cotes-roussillon-zoe-rouge-2018,product,IT
15178,4,2019-03-13 15:01:34,camille-giroud-santenay-blc-2017,product,IT
16042,7,2018-02-12 09:54:27,pierre-gaillard-cornas-2017,product,IT
15561,24,2019-03-15 10:20:59,maurel-pays-d-oc-merot-2018,product,IT
15281,0,2018-04-17 16:06:47,domaine-rotier-gaillac-rouge-lame-2016,product,IT
15713,2,2018-07-31 10:51:21,lucien-boillot-gevrey-chambertin-2017,product,IT
15426,3,2018-04-11 13:32:19,montcalmes-larzac-rouge-2017,product,IT
802,0,2018-04-14 11:48:19,marcel-windholtz-eau-de-vie-de-marc-de-muscat,product,IT
16159,18,2019-04-26 11:08:24,domaine-la-croix-belle-cotes-de-thongue-rose-grillons-2019,product,IT
15859,0,2018-04-18 22:12:03,domaine-saint-nicolas-fiefs-vendeens-rouge-cuvee-jacques-2016,product,IT
15073,0,2018-07-17 10:56:21,domaine-des-comtes-lafon-monthelie-1er-cru-les-duresses-2017,product,IT
16022,0,2018-09-01 15:39:38,nouvelle-zelande-marlborough-momo-sauvignon-blanc-2018,product,IT
15674,0,2019-01-31 14:08:10,domaine-terres-d-ocre-saint-pourcain-blanc-instant-t-2018,product,IT
